column,source,subset,total,non_null,non_null_pct,n_distinct
date_posted,scraped,swe_filtered,24095,179,0.74,12
scrape_date,kaggle_arshkon,swe_filtered,5019,0,0.0,0
scrape_date,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
company_industry,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
company_size,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
company_size,scraped,swe_filtered,24095,0,0.0,0
company_size_raw,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
company_size_raw,scraped,swe_filtered,24095,0,0.0,0
company_size_category,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
company_size_category,scraped,swe_filtered,24095,0,0.0,0
search_query,kaggle_arshkon,swe_filtered,5019,0,0.0,0
query_tier,kaggle_arshkon,swe_filtered,5019,0,0.0,0
query_tier,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
search_metro_id,kaggle_arshkon,swe_filtered,5019,0,0.0,0
search_metro_id,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
search_metro_name,kaggle_arshkon,swe_filtered,5019,0,0.0,0
search_metro_region,kaggle_arshkon,swe_filtered,5019,0,0.0,0
search_metro_region,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
search_location,kaggle_arshkon,swe_filtered,5019,0,0.0,0
search_location,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
work_type,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
skills_raw,kaggle_arshkon,swe_filtered,5019,67,1.33,61
skills_raw,scraped,swe_filtered,24095,0,0.0,0
asaniczka_skills,kaggle_arshkon,swe_filtered,5019,0,0.0,0
asaniczka_skills,scraped,swe_filtered,24095,0,0.0,0
company_id_kaggle,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
company_id_kaggle,scraped,swe_filtered,24095,0,0.0,0
posting_age_days,kaggle_arshkon,swe_filtered,5019,0,0.0,0
posting_age_days,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
posting_age_days,scraped,swe_filtered,24095,179,0.74,1
real_employer,kaggle_arshkon,swe_filtered,5019,44,0.88,38
real_employer,kaggle_asaniczka,swe_filtered,23213,2285,9.84,150
real_employer,scraped,swe_filtered,24095,1338,5.55,597
scrape_week,kaggle_arshkon,swe_filtered,5019,0,0.0,0
scrape_week,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
llm_text_skip_reason,kaggle_arshkon,swe_filtered,5019,4,0.08,1
llm_text_skip_reason,kaggle_asaniczka,swe_filtered,23213,2,0.01,1
llm_text_skip_reason,scraped,swe_filtered,24095,0,0.0,0
description_core_llm,scraped,swe_filtered,24095,0,0.0,0
classification_input_hash,kaggle_asaniczka,swe_filtered,23213,8722,37.57,7318
swe_classification_llm,kaggle_arshkon,swe_filtered,5019,0,0.0,0
swe_classification_llm,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
swe_classification_llm,scraped,swe_filtered,24095,0,0.0,0
seniority_llm,kaggle_arshkon,swe_filtered,5019,0,0.0,0
seniority_llm,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
seniority_llm,scraped,swe_filtered,24095,0,0.0,0
ghost_assessment_llm,kaggle_arshkon,swe_filtered,5019,0,0.0,0
ghost_assessment_llm,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
ghost_assessment_llm,scraped,swe_filtered,24095,0,0.0,0
yoe_min_years_llm,kaggle_arshkon,swe_filtered,5019,0,0.0,0
yoe_min_years_llm,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
yoe_min_years_llm,scraped,swe_filtered,24095,0,0.0,0
llm_model_classification,kaggle_arshkon,swe_filtered,5019,0,0.0,0
llm_model_classification,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
llm_model_classification,scraped,swe_filtered,24095,0,0.0,0
llm_prompt_version_classification,kaggle_arshkon,swe_filtered,5019,0,0.0,0
llm_prompt_version_classification,kaggle_asaniczka,swe_filtered,23213,0,0.0,0
llm_prompt_version_classification,scraped,swe_filtered,24095,0,0.0,0
